ticker,pearson_next,p_next,beta_sent,R2
AAPL,0.08218055298499556,0.19802613228358368,0.0035165383686752236,0.006753643288919697
AMD,-0.06519677048928978,0.3104605966395278,-0.00476776392634458,0.004250618882233104
AMZN,0.011072027660582363,0.8625467269771978,0.0006222180145592228,0.0001225897965165812
BA,0.1788040632376625,0.029678456699723996,0.011136290989951439,0.03197089303029821
BX,-0.08395816903928066,0.6965054777141122,-0.006040426434272817,0.007048974148428533
COST,-0.026988514005348227,0.7413620689755265,-0.0010750280246125087,0.0007283798882166126
CRM,0.09882106740557861,0.30212503536540836,0.007169513126245912,0.009765603363177888
DIS,-0.004294032420073994,0.9545069458545447,-0.0001756897697001025,1.8438714424862113e-05
ENPH,0.08694019458606057,0.4373576485996339,0.008113577300994148,0.007558597434662029
F,-0.15679678671130756,0.5214927094437056,-0.007994882468736067,0.024585232322991146
GOOG,-0.04617052670516529,0.48308689317913245,-0.0020769135148813993,0.0021317175362324248
INTC,0.010943034689061864,0.9024274529445501,0.00042853433664843173,0.00011975000820618753
KO,-0.09334177087865662,0.29465151418659685,-0.0028453719431202748,0.008712686190763597
META,0.06762408553044692,0.32482613741323463,0.004782730873003334,0.004573016943829278
MSFT,-0.0744876171890024,0.24347395577906691,-0.002854206921057992,0.005548405114495392
NFLX,0.046602106331923826,0.48869673496299226,0.0037598109182752364,0.0021717563145720042
NIO,0.006889235751274045,0.9142139195121635,0.000811534670239771,4.746156923629563e-05
NOC,0.29052020886162006,0.22757964660227745,0.015388674875153687,0.08440199175699958
PG,0.007232465238977581,0.9099576096045809,0.00019193988855491586,5.230855343285601e-05
PYPL,0.03734326800759923,0.6177119486491145,0.0024540613085059317,0.001394519665488092
TSLA,-0.07715751343692749,0.22694094656930533,-0.0124567434457093,0.005953281879769734
TSM,0.029198393654422516,0.6479165785950243,0.001991994016013684,0.0008525461919987043
VZ,0.01492947540176762,0.9098586686394381,0.0004243514720864766,0.0002228892357719614
XPEV,0.14709008991217723,0.17145319003090942,0.012586659428553724,0.02163549455037239
